timestamp,mode,episode,state,action,reward,cpu_usage_pct,mem_usage_mb,latency_ms,error_rate_pct,cpu_limit_applied,mem_limit_applied,baseline_cpu_pct,baseline_mem_mb,baseline_latency_ms
2026-04-05T14:34:49.956274,train,1,0|0|0|0,0,-0.2933,1.30,39.55,17.02,0.0000,1.00,256,1.35,38.05,15.88
2026-04-05T14:35:05.084305,train,2,0|0|0|0,2,-0.2866,1.28,39.07,18.26,0.0000,0.95,256,1.40,37.84,15.25
2026-04-05T14:35:20.218911,train,3,0|0|0|0,4,-0.2795,1.34,39.44,18.87,0.0000,0.95,240,1.35,37.76,14.86
2026-04-05T14:35:35.374050,train,4,0|0|0|0,6,-0.2664,1.45,39.84,19.05,0.0000,0.90,224,1.34,37.75,14.81
2026-04-05T14:35:50.550053,train,5,0|0|0|0,8,-0.2377,1.41,39.30,19.78,0.0000,0.80,192,1.31,37.64,14.91
2026-04-05T14:36:05.665442,train,6,0|1|0|0,0,-0.2384,1.51,39.67,19.12,0.0000,0.80,192,1.28,37.46,14.42
2026-04-05T14:36:20.833504,train,7,0|1|0|0,2,-0.2317,1.46,39.19,20.89,0.0000,0.75,192,1.21,37.36,14.04
2026-04-05T14:36:35.976218,train,8,0|1|0|0,4,-0.2242,1.48,39.52,20.56,0.0000,0.75,176,1.20,37.41,14.05
2026-04-05T14:36:51.074689,train,9,0|1|0|0,6,-0.2100,1.42,39.88,18.62,0.0000,0.70,160,1.16,37.43,13.88
2026-04-05T14:37:06.225868,train,10,0|1|0|0,8,-0.1811,1.36,39.39,18.54,0.0000,0.60,128,1.13,37.46,13.48
2026-04-05T14:37:21.377435,train,11,0|1|0|0,8,-0.1549,1.44,39.75,30.27,0.0000,0.50,96,1.12,37.58,14.08
2026-04-05T14:37:36.592037,train,12,0|2|0|0,8,-0.1293,1.56,40.32,44.40,0.0000,0.40,64,1.14,37.67,14.69
2026-04-05T14:37:51.749970,train,13,0|3|0|0,2,-0.1228,1.49,39.84,49.89,0.0000,0.35,64,1.16,37.61,14.91
2026-04-05T14:38:06.850010,train,14,0|3|0|0,0,-0.1226,1.43,39.96,49.39,0.0000,0.35,64,1.16,37.64,14.71
2026-04-05T14:38:21.968740,train,15,0|3|0|0,2,-0.1145,1.25,39.50,44.83,0.0000,0.35,64,1.19,37.68,14.83
2026-04-05T14:38:37.088462,train,16,0|3|0|0,0,-0.1132,1.20,39.84,31.01,0.0000,0.35,64,1.19,37.70,14.29
2026-04-05T14:38:52.283139,train,17,0|3|0|0,2,-0.1070,1.28,39.52,30.27,0.0000,0.25,64,1.18,37.74,14.22
2026-04-05T14:39:07.398243,train,18,0|3|0|0,0,-0.1108,1.54,39.89,51.73,0.0000,0.25,64,1.15,37.78,14.25
2026-04-05T14:39:22.514059,train,19,0|3|0|0,2,-0.1074,1.58,40.25,75.39,0.0000,0.25,64,1.21,37.72,15.14
